record_id,family_name,image_url,common_name,discovery_year,discoverer
1,Chelydridae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Alligator_snapping_turtle.jpg/200px-Alligator_snapping_turtle.jpg,Snapping turtles,1831,Gray
2,Carettochelyidae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Carettochelys_insculpta.jpg/200px-Carettochelys_insculpta.jpg,Pig-nosed turtle,1887,Boulenger
3,Cheloniidae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/GreenSeaTurtle-2.jpg/200px-GreenSeaTurtle-2.jpg,Sea turtles,1811,Oppel
4,Dermatemydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Dermatemydidae.JPG/200px-Dermatemydidae.JPG,Central American river turtle,1870,Gray
5,Dermochelyidae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/LeatherbackTurtle.jpg/200px-LeatherbackTurtle.jpg,Leatherback sea turtle,1843,Fitzinger
6,Emydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Tortoise1_cepolina.jpg/200px-Tortoise1_cepolina.jpg,Pond or water turtles,1815,Rafinesque
7,Geoemydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Cuora_amboinensis_kamaroma_j.jpg/200px-Cuora_amboinensis_kamaroma_j.jpg,"Asian river, leaf, roofed or Asian box turtles",1868,Theobald
8,Kinosternidae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Sternotherus_odoratus.jpg/200px-Sternotherus_odoratus.jpg,Mud or musk turtles,1857,Agassiz
9,Testudinidae,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tortoise.aldabra.750pix.jpg/200px-Tortoise.aldabra.750pix.jpg,Tortoises,1788,Batsch
10,Platysternidae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Zolw_wielkoglowy.jpg/200px-Zolw_wielkoglowy.jpg,Big-headed turtle,1869,Gray
11,Trionychidae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Apalone_spinifera.jpg/200px-Apalone_spinifera.jpg,Softshell turtles,1826,Fitzinger
12,Chelidae,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Eastern_long_neck_tortoise_-_chelodina_longicollis.jpg/200px-Eastern_long_neck_tortoise_-_chelodina_longicollis.jpg,Austro-American sideneck turtles,1831,Gray
13,Pelomedusidae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Pelomedusa_subrufa.JPG/200px-Pelomedusa_subrufa.JPG,Afro-American sideneck turtles,1868,Cope
14,Podocnemididae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Erymnochelys_madagascariensis.jpg/200px-Erymnochelys_madagascariensis.jpg,"Madagascar big-headed, Big-headed Amazon River turtle and South American sideneck river turtles",1869,Gray
